bodeguita(1)^raghida,bodeguita(1)
existential(0)^existential(2),existential(0)^existential(2)
alithia^forsythia(0)^pythia,alithia^forsythia(0)
atypical^prototypical^stereotypical(0)^stereotypical(1)^typical(1)^untypical,atypical^untypical
develop^redevelop^underdevelop,redevelop
announces^mispronounces^pronounces,mispronounces
advertiser's^advertisers^advertisers',advertiser's^advertisers^advertisers'
certify^decertify^recertify,decertify^recertify
brackenbury^christenberry^christenbury^dusenberry^dusenbury^eikenberry^faulkenberry^fortenberry^frankenberry^hockenberry^hockenbury^ikenberry^quesenberry^quisenberry^rittenberry^roddenberry^rosenberry^rotenberry,brackenbury^christenberry^christenbury^dusenberry^dusenbury^eikenberry^faulkenberry^fortenberry^frankenberry^hockenberry^hockenbury^ikenberry^quesenberry^quisenberry^rittenberry^roddenberry^rosenberry^rotenberry
anania^bania^honea^nania^papania^rania^scania^vania,anania^papania
acadia^arcadia^leucadia^locadia^stadia,acadia^arcadia^leucadia^locadia
berarducci^carducci^narducci,berarducci
arrogantly^extravagantly,arrogantly
available^inhalable^salable^saleable^unassailable^unavailable^unsalable^unsaleable,available^inhalable^unsalable^unsaleable
fujisawa^misawa,fujisawa
caruana^duana^louanna(1)^luana,caruana
fellatio^ratio,fellatio
alphagraphics^demographics^geographic's^summagraphics,alphagraphics^demographics^geographic's^summagraphics
weisenburger^weisenburger,weisenburger^weisenburger
andreoli^paoli(1),andreoli
disestablishment^establishment(0)^establishment(1),establishment(0)^establishment(1)
portfolio's^portfolios,portfolio's^portfolios
estuaries^january's^obituaries^sanctuaries,estuaries^january's^sanctuaries
acclamation^acclimation^amalgamation^animation^approximation^automation^consummation^defamation^estimation^exclamation^inflammation^intimation^proclamation^reclamation^summation,acclamation^acclimation^animation^automation^consummation^defamation^estimation^exclamation^inflammation^intimation^proclamation^reclamation
mastropietro^santopietro,mastropietro^santopietro
identify(0)^misidentify(0),identify(0)
arbitrator's^arbitrators'^penetrators^perpetrator's^perpetrators,arbitrator's^arbitrators'^penetrators^perpetrator's^perpetrators
cogenerate^degenerate(1)^generate^regenerate^venerate,cogenerate^degenerate(1)^regenerate
albertini^bertini^gilbertine,albertini^gilbertine
accusingly^amusingly^confusingly,accusingly^amusingly^confusingly
marianas^pianists(2),marianas
deherrera^ferrera,deherrera
rockefeller's^rockefellers,rockefeller's^rockefellers
amari^calamari^lamarre,calamari
mass.(1)^massachusetts^massachusetts'^massachussetts,mass.(1)^massachusetts^massachusetts'^massachussetts
endeavoring(0)^levering^severing,endeavoring(0)
bilateral^collateral^lateral^multilateral(0)^multilateral(1)^plurilateral^trilateral^unilateral,bilateral^collateral^trilateral
halloran^o'hallaron^o'halloran^ohalloran^o'halloron,o'hallaron^o'halloran^ohalloran^o'halloron
cangialosi^colosi,cangialosi
himalayas(1)^meleis^phileas,himalayas(1)
depressurize^pressurize,depressurize
exuberance^protuberance(0)^protuberance(1),exuberance^protuberance(0)^protuberance(1)
commentary^dysentery^fragmentary^involuntary^momentary^sedentary^voluntary,commentary^dysentery^fragmentary^momentary^sedentary^voluntary
anesthesiologists(1)^apologists(2)^biologists(2)^endocrinologists(2)^entomologists(2)^gynecologists(2)^neurologists(2)^pathologists(2)^psychologists(2)^seismologists(2)^zoologists^zoologists,apologists(2)^biologists(2)^neurologists(2)^pathologists(2)^psychologists(2)^seismologists(2)^zoologists^zoologists
eurodisney(0)^eurodisney(1),eurodisney(0)^eurodisney(1)
overwriting^underwriting,overwriting^underwriting
legendary^londonderry^secondary^semilegendary(0)^semilegendary(1),legendary^londonderry^secondary
introduction(1)^production(1),introduction(1)
congenital^genital,congenital
pomposity^reciprocity^virtuosity,pomposity
anesthesiologist^anthropologist(0)^apologist^biologist^endocrinologist^entomologist^geologist^gynecologist^ideologist^musicologist^neurologist^pathologist^psychologist^rheumatologist^scientologist^seismologist^urologist^zoologist,apologist^biologist^geologist^neurologist^pathologist^psychologist^seismologist^urologist^zoologist
inelastic^interscholastic^scholastic,inelastic
contributing^distributing^redistributing(0),contributing^distributing
amenable(0)^tenable^untenable^venable,amenable(0)^untenable
academic^epidemic(0)^nonacademic,academic^epidemic(0)
caraveo^dottavio^flavio^savio,caraveo^dottavio
laudenslager^loudenslager,laudenslager^loudenslager
counterattacked(0)^counterattacked(1),counterattacked(0)^counterattacked(1)
irregular^regular(0),irregular
alamillo^camillo^decamillo^jaramillo,alamillo^decamillo^jaramillo
caniglia^marsiglia^ventimiglia,caniglia^marsiglia
employment(1)^reemployment^underemployment^unemployment,reemployment^unemployment
assyrians^biospherians^liberians^nigerians^presbyterians(0)^presbyterians(1)^syrians^zairian's^zairians,assyrians^liberians^nigerians^zairian's^zairians
byelorussia(0)^byelorussia(1)^byelorussia(2),byelorussia(1)
characterized^mischaracterized,characterized
impassable^passable,impassable
correspondents^correspondents',correspondents^correspondents'
mcconaughey^mcconnaughey,mcconaughey^mcconnaughey
icenogle(0)^icenogle(1),icenogle(0)^icenogle(1)
ciccarello^morello^zamarello,ciccarello^zamarello
avakian^eustachian,avakian^eustachian
kalinowski^malinowski,kalinowski^malinowski
claridges^disparages^marriages^miscarriages,disparages^miscarriages
forgivable(0)^forgivable(1)^livable^unforgivable^unlivable,forgivable(0)^forgivable(1)^unlivable
albanian^arslanian^aslanian^bahrainian(0)^bahrainian(2)^hovnanian^iranian(1)^jordanian^lithuanian^mediterranean^o'hanian^ohanian^panamanian^pennsylvanian^pomeranian^romanian^rumanian(0)^stepanian^subterranean^tanzanian(0)^tasmanian^ukrainian^vartanian,albanian^arslanian^aslanian^bahrainian(0)^bahrainian(2)^hovnanian^iranian(1)^jordanian^o'hanian^ohanian^romanian^rumanian(0)^stepanian^tanzanian(0)^tasmanian^ukrainian^vartanian
midwesterner^westerner,midwesterner
esterly^northwesterly^westerly,northwesterly
documented(0)^implemented(0)^supplemented,documented(0)^implemented(0)^supplemented
samudio^studio^zamudio,samudio^zamudio
analyzing^brutalizing^cannibalizing^capitalizing^centralizing^commercializing^criminalizing^crystallizing^decentralizing^demobilizing^demoralizing^denationalizing^departmentalizing^destabilizing^editorializing^equalizing^federalizing(0)^federalizing(1)^fertilizing^finalizing^formalizing^generalizing(0)^generalizing(1)^hydrolyzing^idolizing^immobilizing^immortalizing^industrializing^institutionalizing^legalizing^liberalizing(0)^liberalizing(1)^marginalizing^materializing^mobilizing^monopolizing^moralizing^nationalizing(0)^nationalizing(1)^naturalizing(0)^naturalizing(1)^neutralizing^normalizing^paralyzing^penalizing^personalizing^pluralizing^rationalizing^realizing(1)^reanalysing^recapitalizing^revitalizing^self-fertilizing^socializing^specializing^stabilizing^sterilizing^symbolizing^tantalizing(0)^tantalizing(1)^tranquilizing^trivializing(0)^trivializing(1)^utilizing^vandalizing^verbalizing^visualizing,analyzing^brutalizing^centralizing^crystallizing^equalizing^federalizing(1)^fertilizing^finalizing^formalizing^generalizing(1)^hydrolyzing^idolizing^legalizing^liberalizing(1)^mobilizing^moralizing^nationalizing(1)^naturalizing(1)^neutralizing^normalizing^paralyzing^penalizing^pluralizing^realizing(1)^socializing^specializing^stabilizing^sterilizing^symbolizing^tantalizing(0)^tantalizing(1)^tranquilizing^trivializing(1)^utilizing^vandalizing^verbalizing^visualizing
automaker's^automakers^automakers',automaker's^automakers^automakers'
area^bavaria^bay-area^beria^bulgaria^echeverria^erria^feria^finanziaria^fondiaria^honoraria^hysteria^inmobiliaria^malaria^peria^pfiesteria^renteria^santeria^silveria,bavaria^bay-area^bulgaria^hysteria^malaria^pfiesteria^renteria^santeria^silveria
)close-parentheses^)end-parentheses^(in-parentheses^(open-parentheses^(parentheses^parentheses,(parentheses^parentheses
peraino^restaino^tomaino^vizcaino,peraino^restaino^tomaino^vizcaino
fukuyama^maruyama^tokuyama,fukuyama^maruyama^tokuyama
bakowski^kolakowski^kosakowski^krakowski^krukowski^kukowski^kulakowski^lukowski^makowski^novakowski^nowakowski^polakowski^sakowski^zukowski,kolakowski^kosakowski^kulakowski^novakowski^nowakowski^polakowski
devaluate^evaluate(0)^evaluate(1),devaluate^evaluate(0)^evaluate(1)
equitable(1)^mehitabel(0)^mehitabelle^unprofitable^veritable,equitable(1)^mehitabel(0)^mehitabelle^veritable
evanescence^luminescence^senescence,evanescence^luminescence
deportation^exhortation^importation,deportation^exhortation^importation
culverhouse's^firehouses^powerhouses^slaughterhouses^waterhouse's,culverhouse's^firehouses^powerhouses^slaughterhouses^waterhouse's
assicurazioni^aviazione^biagioni^campione^castiglione^edizione^etzioni^gaglione(0)^gaglione(1)^leoni(1)^maglione^mantione^manzione^marchione^menzione(0)^partecipazioni^religione^ricostruzione^scaglione^scipione^simione^stanzione^tartaglione^vecchione^viglione,campione^etzioni^gaglione(0)^gaglione(1)^maglione^mantione^manzione^marchione^menzione(0)^scaglione^scipione^simione^stanzione^vecchione^viglione
calif(0)^california,calif(0)^california
analyzer^equalizer^fertilizer^mobilizer^nebulizer^stabilizer^sterilizer^tranquilizer,analyzer^equalizer^fertilizer^mobilizer^nebulizer^stabilizer^sterilizer^tranquilizer
committee's^committees^committees'^subcommittee's^subcommittees,subcommittee's^subcommittees
mahoney^o'mahoney^omahoney^o'mahony^omahony,o'mahoney^omahoney^o'mahony^omahony
accidently^confidently^evidently,accidently^confidently^evidently
contributed^redistributed(0)^undistributed,contributed
accumulatively(1)^affirmatively^alternatively^appreciatively(1)^comparatively^consecutively^conservatively^cooperatively^cumulatively^figuratively^imaginatively^negatively^positively^prohibitively^provocatively^relatively^tentatively(0),negatively^positively^relatively^tentatively(0)
envisioning^provisioning,envisioning^provisioning
outperformers^performers^performers',outperformers
bouthillier^boutilier^letellier,bouthillier^boutilier^letellier
lillehamer^lillehammer,lillehamer^lillehammer
automotive^locomotive,automotive^locomotive
postretirement^retirement(0)^retirement(1),retirement(0)^retirement(1)
delvecchio^lovecchio^vecchio,delvecchio^lovecchio
anxieties^improprieties^pieties^societies^society's^varieties,anxieties^societies^society's^varieties
analyzed^panelized^reanalysed^tantalized(1),reanalysed
accordion^edwardian^gordian,accordion^edwardian
cyrenius^fresenius^homogeneous,cyrenius^fresenius
overtaking^undertaking,overtaking^undertaking
appearance^disappearance(0)^reappearance,disappearance(0)^reappearance
relaxation^taxation,relaxation
dosimeters^estimators(0)^perimeters,dosimeters^estimators(0)^perimeters
disentangle^untangle,disentangle
borealis^maryalice,borealis^maryalice
brontosaurus(0)^brontosaurus(1)^dilophosaurus^stegosaurus^thesaurus^tyrannosaurus,brontosaurus(0)^brontosaurus(1)^stegosaurus
kawahara^kuwahara^miyahara^nakahara,kawahara^kuwahara^miyahara^nakahara
anthropologists(2)^archaeologists(1)^cardiologists(1)^criminologists(1)^dermatologists(1)^epidemiologists(1)^geologists(1)^ideologists(1)^kremlinologists(1)^meteorologists(1)^oncologists(1)^paleontologists(1)^pharmacologists(1)^radiologists(1)^sociologists(1)^sovietologists(1)^technologists(1)^toxicologists(1),geologists(1)^oncologists(1)^technologists(1)
imperatives^narratives(1),imperatives
disqualified^mollified^nonqualified^qualified,disqualified^nonqualified
consequential^inconsequential^sequential,consequential
nautilus's^nicholas's(0),nautilus's^nicholas's(0)
adventurism(0)^adventurism(1)^amateurism^aphorism^barbarism^boosterism^consumerism^counterterrorism(0)^counterterrorism(1)^futurism^mannerism^mesmerism^militarism^monetarism^plagiarism^secularism^terrorism^thatcherism^voluntarism,aphorism^barbarism^boosterism^futurism^mannerism^mesmerism^plagiarism^terrorism^thatcherism
bilious^punctilious^supercilious,punctilious
costeira^financiera^riviera^sierra^vieira^vieyra,costeira^riviera
baranowski^bojanowski^chrzanowski^danowski^gronowski^jablonowski^janofsky^janowski^klonowski^kochanowski^krzyzanowski^malanowski^milanowski^romanowski^szymanowski^trojanowski,baranowski^bojanowski^chrzanowski^jablonowski^kochanowski^krzyzanowski^malanowski^milanowski^romanowski^szymanowski^trojanowski
economize(0)^economize(1),economize(0)^economize(1)
resolutely(0)^resolutely(1),resolutely(0)^resolutely(1)
catino^disabatino^latino(0)^patino^sabatino^salatino,sabatino^salatino
compartmental^departmental(1),compartmental^departmental(1)
bolivian(0)^bolivian(1)^oblivion^vivian^vivien^vivienne,bolivian(0)^bolivian(1)^oblivion
assembly^reassembly^subassembly,reassembly^subassembly
amphibian^caribbean(0)^gibian^libyan^namibian,amphibian^caribbean(0)^namibian
catechism^masochism,catechism^masochism
nonvolatile^volatile,nonvolatile
astronomer^monomer,astronomer
exacerbation^masterbation^masturbation^perturbation,masterbation^masturbation^perturbation
interviewers(0)^interviewers(1),interviewers(0)^interviewers(1)
obermiller^ostermiller,obermiller^ostermiller
annunziato^battiato^nunziato,battiato^nunziato
archdiocese(1)^diocese(0)^dioceses(0),archdiocese(1)
advantages(0)^advantages(1)^disadvantages(0)^vantage's,advantages(0)^advantages(1)
corrigible^eligible(0)^incorrigible^intelligible^knowledgeable^negligible(0)^unintelligible,corrigible^eligible(0)^knowledgeable^negligible(0)
aristotelian^chameleon(1)^hegelian^karelian^stelian,chameleon(1)^hegelian^karelian
angular^equiangular^rectangular^triangular,rectangular^triangular
o'hanesian^ohanesian,o'hanesian^ohanesian
chimento^investimento^memento^nascimento^pentimento,nascimento^pentimento
coexistence^existence(1),coexistence
enfranchises^franchise's^franchises,enfranchises
confidence's^evidences,confidence's^evidences
consumerists(1)^humorists(1),consumerists(1)
republicans^republicans'^republican's^republicans^republicans'^republicans,republicans^republicans'^republican's^republicans^republicans'^republicans
unrepentant^unrepentant,unrepentant^unrepentant
intefadeh(1)^intifada,intefadeh(1)^intifada
disenfranchise^enfranchise,disenfranchise
carmany^disharmony^harmonie^harmony,disharmony
micrographics^reprographics,micrographics^reprographics
geriatric^pediatric^psychiatric,geriatric^pediatric^psychiatric
celestine^modestine^notestine,celestine^modestine^notestine
america's^americas^americas'^america's^americas^bankamerica's^coastamerica's^primerica's^transamerica's^westamerica's,america's^americas^americas'^america's^americas^primerica's
accompanies^companies^companies'^company's,accompanies
immaturity^insecurity^maturity(1)^purity(1),maturity(1)
alluvial^fluvial^pluvial,alluvial
destabilized^stabilized,destabilized
degrazia^digrazia,degrazia^digrazia
allegory^category,allegory^category
competitive(0)^noncompetitive^rep.^rep(1)^uncompetitive,competitive(0)
introductions(1)^production's(0),introductions(1)
exteriors^interiors^superiors,exteriors^interiors^superiors
disingenuous^ingenuous^strenuous,ingenuous
plasticizer^synthesizer,plasticizer^synthesizer
irradiate^radiate(1),irradiate
liturgical^metallurgical^nonliturgical^nonsurgical^surgical,liturgical^nonsurgical
dysfunctional^functional,dysfunctional
corio^degregorio^digregorio^diiorio^dilorio^diorio^dorio^florio^gregorio^iorio^jorio^lorio^oratorio^oreo^osorio^pistorio^solorio^tenorio^vittorio,diiorio^dilorio^diorio^gregorio^iorio^osorio^pistorio^solorio^tenorio^vittorio
krysiak^kubisiak^misiak^soltysiak,kubisiak^soltysiak
montrealer's^montrealers,montrealer's^montrealers
intolerant^tolerant,intolerant
outperformance^performance^underperformance,outperformance
constituting^reinstituting,constituting
belinsky^bielinski^bilinski^filinski^helinski^hilinski^jelinski^kobylinski^wilinski^zelinski^zelinsky,kobylinski
complementary(0)^elementary(0)^supplementary(2),complementary(0)^elementary(0)^supplementary(2)
bollettieri^palmieri^pierie^ranieri(0)^ranieri(1),palmieri^ranieri(0)^ranieri(1)
linafelter(0)^linafelter(1),linafelter(0)^linafelter(1)
oviparous^ovoviviparous^viviparous,oviparous^viviparous
criminalist^internationalist(0)^internationalist(1)^nationalist(1)^sensationalist^traditionalist,criminalist^nationalist(1)
autonomic^economic(0)^economic(1)^ergonomic^macroeconomic(0)^macroeconomic(1)^microeconomic^noneconomic^socioeconomic^uneconomic,autonomic^economic(0)^economic(1)^ergonomic
acordia^procordia^thordia,acordia^procordia
auxiliary(1)^aviary^beneficiary^evidentiary(0)^evidentiary(1)^fiduciary^incendiary^intermediary(0)^intermediary(1)^judiciary^pecuniary^subsidiary^tertiary(1)^topiary,aviary^tertiary(1)^topiary
ciaccia(1)^nicosia^panacea,ciaccia(1)^nicosia^panacea
maniaci^mariachi,maniaci^mariachi
doretti^fioretti^moretti,fioretti
fantasyland(0)^fantasyland(1),fantasyland(0)^fantasyland(1)
abolitionism^agrarianism^americanism^anachronism^antagonism^antidisestablishmentarianism^arianism^authoritarianism^buchananism^chauvinism^communism^confucianism^creationism^determinism^egalitarianism^expansionism(0)^expansionism(1)^expressionism^hedonism^hellenism^hooliganism^humanism^illusionism^impressionism^interventionism(0)^interventionism(1)^isolationism^mechanism^microorganism^mormonism(1)^nestorianism^obstructionism^organism^paganism^parliamentarianism(0)^perfectionism^peronism^protectionism(0)^protectionism(1)^puritanism^reaganism(0)^reaganism(1)^republicanism^revisionism^satanism^sectarianism^tokenism^totalitarianism^unionism^vegetarianism^zionism,chauvinism^communism^hedonism^hellenism^humanism^mechanism^mormonism(1)^organism^paganism^peronism^reaganism(0)^reaganism(1)^satanism^tokenism^unionism^zionism
gravitating^incapacitating^necessitating^resuscitating,gravitating
creatologists(2)^necrologists(1)^volcanologists^volcanologists,necrologists(1)
complexity(0)^perplexity,complexity(0)^perplexity
ishihara^sugihara,ishihara^sugihara
coordinates(0)^subordinates(1),coordinates(0)^subordinates(1)
analogic^biologic^geologic^gynecologic^intelogic^neurologic^technologic,analogic^biologic^geologic^intelogic^neurologic^technologic
ironizes^modernizes,ironizes^modernizes
cornelison^elison^ellison^ellyson^jellison^kellison,cornelison
pacini^procaccini^spadaccini,procaccini^spadaccini
caterpillar(1)^caterpiller(1),caterpillar(1)^caterpiller(1)
delmonaco^lomonaco,delmonaco^lomonaco
finocchio^ginocchio^manocchio^pinocchio^rocchio^tokyo,finocchio^ginocchio^manocchio^pinocchio
anesthesiology^anthology^anthropology^apology^archaeology^archeology^astrogeology^astrology^bacteriology^biology^biotechnology^cardiology^chocolatology^chronology^cosmetology^criminology^cytology^dendrochronology^deontology^dermatology^doxology^ecology(0)^ecology(1)^egyptology^electrobiology^embryology^endocrinology^enterology^entomology^epidemiology^epistemology^ethnology^ethology^etiology(0)^etiology(1)^etymology(0)^etymology(1)^genealogy^geology^geomorphology^gerontology^graphology^gynecology^hematology(0)^hematology(1)^histology^hymnology^ideology^immunology^infotechnology^intertechnology^kinesiology^limnology^meteorology^methodology^microbiology(0)^microbiology(1)^micropaleontology^mineralogy^morphology^mycology^mythology^neurology^numerology^oncology^ontology^ophthalmology(0)^ophthalmology(1)^ornithology^otology^paleontology^pathology^penology^petrology^pharmacology^phonology^physiology^polytechnology^pomology^psychology^radiology^rheumatology^scientology^seismology^serology^sociology^technology^terminology^theology^toxicology^transtechnology^urology^virology^zoology,anthology^apology^astrology^biology^chronology^cytology^doxology^ecology(0)^ecology(1)^ethnology^ethology^geology^graphology^histology^hymnology^limnology^morphology^mycology^mythology^neurology^oncology^ontology^otology^pathology^penology^petrology^phonology^pomology^psychology^seismology^serology^technology^theology^urology^virology^zoology
prolifically^scientifically(1)^specifically^terrifically,prolifically^specifically^terrifically
karate^liberati^literati^pavarotti^pavarotti's,liberati^literati^pavarotti^pavarotti's
invariance^variance,invariance
cadwalader^cadwallader,cadwalader^cadwallader
unfortunates^unfortunates,unfortunates^unfortunates
minutia^minutiae,minutia^minutiae
bartosiewicz^lukasiewicz,bartosiewicz^lukasiewicz
capitalize^undercapitalize,capitalize
criticizing^politicizing,criticizing
communities(0)^opportunities,communities(0)
fujimoto^hashimoto^hoshimoto^kimoto^morimoto^nishimoto^okimoto^sugimoto^tanimoto^yoshimoto,fujimoto^hashimoto^hoshimoto^morimoto^nishimoto^okimoto^sugimoto^tanimoto^yoshimoto
designation(0)^resignation(0),designation(0)^resignation(0)
kuranari^molinari,kuranari^molinari
angeles's^annapolis's^indianapolis's^minneapolis's,angeles's
bespectacle^spectacle,bespectacle
accidental(1)^occidental(1),accidental(1)^occidental(1)
anarchical^hierarchical,anarchical^hierarchical
anastasi^nastasi,anastasi
advocating^allocating^authenticating^communicating^complicating^deprecating^domesticating^educating(0)^equivocating^eradicating^extricating^indicating^lubricating^misallocating^pontificating^predicating(0)^prevaricating^prognosticating^reallocating^reciprocating^self-deprecating^suffocating,advocating^allocating^complicating^deprecating^educating(0)^extricating^indicating^lubricating^predicating(0)^suffocating
bykowski^dzikowski^janikowski^kozikowski^krolikowski^kulikowski^pawlikowski^rykowski,janikowski^kozikowski^krolikowski^kulikowski^pawlikowski
contagiousness^outrageousness,contagiousness^outrageousness
hospitable^inhospitable(1)^initable^mehitabel(1)^transmittable,hospitable^initable^mehitabel(1)^transmittable
election^preelection^reelection,preelection^reelection
donofrio^onofrio,donofrio^onofrio
camarena(0)^larena,camarena(0)
prerequisite^requisite,prerequisite
insubstantial(1)^substantial(1),insubstantial(1)
curricular^extracurricular^particular(0)^particular(1)^perpendicular^testicular^vehicular,curricular^particular(0)^particular(1)^testicular^vehicular
deactivate^inactivate,deactivate^inactivate
gyroscopic^laparoscopic(1)^microscopic,gyroscopic^laparoscopic(1)^microscopic
coordinators^detonators^exterminators^impersonators^originators^procrastinators,detonators
delivery^livery,delivery
aquarium^barium^herbarium(0)^herbarium(1)^honorarium^merriam^planetarium,aquarium^herbarium(0)^herbarium(1)
anterior^centerior^cheerier^exterior^inferior^interior^superior^ulterior,anterior^centerior^exterior^inferior^interior^superior^ulterior
military's^secretaries',military's^secretaries'
identify(1)^misidentify(1),identify(1)
jaruzelski(0)^jaruzelski(1),jaruzelski(0)^jaruzelski(1)
unsinkable^unthinkable,unsinkable^unthinkable
baltodano^sodano,baltodano
tomatino's^totino's,tomatino's
barberio^oliverio^serio^tiberio^valerio,barberio^tiberio^valerio
juxtaposes^opposes^presupposes^proposes^supposes,juxtaposes^presupposes
hamasaki^iwasaki^kawasaki^masaki^miyasaki^nagasaki^sasaki^yamasaki,hamasaki^iwasaki^kawasaki^miyasaki^nagasaki^yamasaki
bacterium^delirium^miriam^myriam,bacterium^delirium
admiralty^mayoralty,admiralty^mayoralty
vehemently^vehemently,vehemently^vehemently
payable^repayable^unpayable,repayable^unpayable
agitator^facilitator^imitator^prestidigitator^rehabilitator,agitator^imitator
alfiero^cafiero^financiero,alfiero^cafiero
albinia^alenia^armenia^erminia^eugenia^herminia^neurasthenia^robinia^sardinia^schizophrenia^slovenia^vaccinia^xenia^zinia,albinia^alenia^armenia^erminia^eugenia^herminia^robinia^sardinia^slovenia^vaccinia
macfadyen^madyun(0)^mcfadyen,macfadyen^mcfadyen
escalera^scalera,escalera
psychiatrist's^psychiatrists(0),psychiatrist's^psychiatrists(0)
cannavino^trevino,cannavino
macedonian(0)^macedonian(1),macedonian(0)^macedonian(1)
appropriator^aviator^conciliator^gladiator^mediator^negotiator(0)^negotiator(1)^radiator,aviator^gladiator^mediator^radiator
massmutual^parimutuel,massmutual
reliably(0)^reliably(1)^undeniably^unjustifiably,reliably(0)^reliably(1)
complemented^complimented^ornamented^regimented^undocumented(0),complemented^complimented^ornamented^regimented
acocella^nocella,acocella
additions^expeditions^traditions,expeditions
rescheduling^scheduling(1),rescheduling
serafino^zaffino,serafino
arenella^campanella^danella^fontanella^janella^manella^panella^salmonella^vanella^zanella,arenella^campanella^fontanella^salmonella
billerica^federica^frederica^roderica,billerica^federica^frederica^roderica
anticipated(0)^constipated^participated(0),constipated
kovaleski^kowaleski^maleski^malesky^moleski^molesky^olesky^soboleski^zaleski^zalesky,kovaleski^kowaleski^soboleski
corruptions^interruptions(0)^interruptions(1),interruptions(0)^interruptions(1)
beneficent^coefficient^insufficient^self-sufficient(0)^sufficient,beneficent^coefficient^insufficient^self-sufficient(0)
guantanamo's^herronimo's,guantanamo's^herronimo's
altogether^get-together(0)^get-together(1)^together,altogether^get-together(0)^get-together(1)
palladium^radium^stadium^vanadium,palladium^vanadium
articulate(1)^inarticulate^particulate,articulate(1)^particulate
annapolis^indianapolis^minneapolis,annapolis
receptionists(2)^receptionists(3),receptionists(2)^receptionists(3)
cooperate(0)^cooperate(1)^operate(0),cooperate(0)
casino^cassino^mendocino^pacino,mendocino
nonproductive^productive(0)^reproductive^unproductive,nonproductive^reproductive^unproductive
insoluble^soluble^voluble,insoluble
improperly^properly,improperly
interception(0)^interception(1)^misperception^perception,interception(0)^interception(1)^misperception
alphabetic^diabetic,alphabetic^diabetic
proprietor^quieter^rioter^wiater,proprietor
fiorenza^lorenza,fiorenza
admonishing^astonishing,admonishing^astonishing
egoism^heroism^jingoism,egoism^heroism^jingoism
coriander^leander^meander,coriander
marinello^spinello,marinello
interactions(0)^interactions(1),interactions(0)^interactions(1)
colarusso^giarrusso^laruso^larusso,colarusso
artistically^characteristically^euphemistically^journalistically(1)^linguistically^logistically^optimistically(1)^realistically^ritualistically(1)^statistically(1)^stylistically^uncharacteristically^unrealistically,artistically^linguistically^logistically^statistically(1)^stylistically
lubavitcher's^lubavitchers^lubavitcher's^lubavitchers,lubavitcher's^lubavitchers^lubavitcher's^lubavitchers
carnivorous^herbivorous(0)^herbivorous(1)^insectivorous^omnivorous,carnivorous^herbivorous(0)^herbivorous(1)^omnivorous
confrontations^presentations^representations,confrontations^presentations
captivating^cultivating^reactivating,captivating^cultivating
botanical^electromechanical^mechanical^puritanical^tyrannical,botanical^mechanical^tyrannical
impressionist(1)^secessionist,impressionist(1)^secessionist
mcgonagle^mcgonigal^mcgonigle^mcmonagle^mcmonigle,mcgonagle^mcgonigal^mcgonigle^mcmonagle^mcmonigle
controversial^noncontroversial^uncontroversial,controversial
obuchowski(0)^obuchowski(1),obuchowski(0)^obuchowski(1)
abolishing^demolishing^polishing,abolishing^demolishing
coprocessor^microprocessor^multiprocessor^processor,coprocessor
lanai-city^nicety,lanai-city
devastatingly^excruciatingly^frustratingly^regulatingly^unhesitatingly,frustratingly
anaconda^giaconda,anaconda^giaconda
fabricated(0)^sophisticated(1),fabricated(0)
emaciate^glaciate(0)^ingratiate,emaciate^ingratiate
ardolino^bertolino^ciolino^colino^coppolino^cozzolino^folino^molino^musolino^paolino^polino^pollino^tuzzolino,ardolino^bertolino^coppolino^cozzolino^musolino^paolino^tuzzolino
morgenthaler^ritzenthaler(0)^siegenthaler,morgenthaler^ritzenthaler(0)^siegenthaler
consolable^controllable^uncontrollable,consolable^controllable
consciously^subconsciously^unconsciously,subconsciously^unconsciously
fittingly^unwittingly^wittingly,unwittingly
gladiolus^violist's^violists^violist's^violists,gladiolus
abbreviating^affiliating^alleviating^appreciating^appropriating^asphyxiating^associating^delineating^depreciating^deviating^differentiating(0)^differentiating(1)^emaciating^enunciating^excoriating^excruciating^humiliating^inebriating^infuriating^ingratiating^initiating^instantiating^mediating^misappropriating^nauseating^negotiating^obviating^officiating^permeating^radiating^recreating(0)^renegotiating^repatriating^repudiating^retaliating,deviating^mediating^nauseating^obviating^permeating^radiating^recreating(0)
cirincione^cirrincione,cirincione^cirrincione
anatoli^anatoly,anatoli^anatoly
amplifying^certifying^clarifying^classifying^codifying^disqualifying^diversifying(0)^diversifying(1)^edifying^electrifying^exemplifying^falsifying^glorifying^gratifying^horrifying^identifying(0)^identifying(1)^intensifying^justifying^magnifying^misidentifying(0)^misidentifying(1)^modifying^mummifying^mystifying^notifying^nullifying^personifying^purifying^qualifying^ratifying^recertifying^rectifying^signifying^simplifying^solidifying^specifying^speechifying^stultifying^terrifying^testifying^unifying^verifying,amplifying^certifying^clarifying^classifying^codifying^edifying^falsifying^glorifying^gratifying^horrifying^justifying^magnifying^modifying^mummifying^mystifying^notifying^nullifying^purifying^qualifying^ratifying^rectifying^signifying^simplifying^specifying^speechifying^stultifying^terrifying^testifying^unifying^verifying
cittadino^corradino^paladino^palladino^saladino,cittadino^corradino^paladino^palladino^saladino
bugliosi^preziosi,bugliosi^preziosi
