diguglielmo^guglielmo,diguglielmo
accumulative^manipulative^regulative^stimulative,accumulative^manipulative
aristocracy^autocracy^bureaucracy^democracy^hypocrisy^theocracy,aristocracy
indestructible^nondeductible,indestructible^nondeductible
geriatricians^obstetricians^patricians^pediatricians,geriatricians^pediatricians
contributed^redistributed(0)^undistributed,redistributed(0)^undistributed
disobedience(0)^disobedience(1)^expedience^obedience,disobedience(0)^disobedience(1)
audiotronic^photronic,audiotronic
alligator^instigator^interrogator^investigator^irrigator^litigator^navigator,interrogator^investigator
alienating^assassinating^chlorinating^concatenating^contaminating^coordinating^culminating^decaffeinating^detonating^discriminating^disseminating^dominating^eliminating^emanating^exterminating^fascinating^hallucinating(0)^hydrogenating^hyphenating^illuminating^impersonating^incriminating^laminating^marinating^nominating^originating^predominating^procrastinating^rejuvenating^resonating^subordinating^terminating^urinating,alienating^assassinating^concatenating^contaminating^coordinating^decaffeinating^discriminating^disseminating^eliminating^exterminating^hallucinating(0)^hydrogenating^illuminating^impersonating^incriminating^originating^predominating^procrastinating^rejuvenating^subordinating
metamorphasis^metamorphosis,metamorphasis^metamorphosis
anonymity^equanimity^unanimity(1),anonymity^equanimity^unanimity(1)
moisturizer^polarizer^popularizer^rittereiser,popularizer
consequential^inconsequential^sequential,inconsequential
semifinalists(1)^semifinalists(3),semifinalists(1)^semifinalists(3)
aria^candelaria^daria^demaria^dimaria^echevarria^faria^hilaria^rosaria^sharia^zaccaria^zaria,candelaria^echevarria
reasonableness(0)^reasonableness(1),reasonableness(0)
overregulates^regulates,overregulates
acidification^adjudication^advocation^affrication^allocation^amplification^application^assocation^authentication^avocation^certification^cladification^clarification^classification^codification^collocation^communication^complication^convocation^decertification^dedication^deification^desiccation^detoxication^disqualification^diversification(0)^diversification(1)^domestication^duplication^edification^education(0)^equivocation^eradication^excommunication^explication^extrication^falsification^fortification^gasification^gratification^identification(0)^identification(1)^implication^indication^intensification^intoxication^invocation^justification^magnification^medication^misallocation^misapplication^miscommunication^modification^multiplication^notification^nullification^ossification^pacification^personification^pontification^prefabrication^prevarication^prognostication^provocation^purification^qualification^quantification^ramification^ratification^reallocation^recertification^reclassification^rectification^rededication^replication^reunification^revocation^russification(0)^russification(1)^sanctification^saponification^sophistication^suffocation^unification^verification^vilification^vindication,adjudication^amplification^authentication^certification^cladification^clarification^classification^codification^communication^deification^detoxication^domestication^edification^equivocation^eradication^falsification^fortification^gasification^gratification^intoxication^justification^magnification^misallocation^misapplication^modification^multiplication^notification^nullification^ossification^pacification^pontification^prefabrication^prevarication^prognostication^purification^qualification^quantification^ramification^ratification^reallocation^rectification^rededication^russification(0)^russification(1)^sanctification^sophistication^unification^verification^vilification
constitutionists(2)^revolutionists(2),constitutionists(2)^revolutionists(2)
bennardo^dileonardo^leonardo,dileonardo
abortion^antiabortion(0)^antiabortion(1),antiabortion(0)^antiabortion(1)
aguinaga^reynaga,aguinaga
cardiopulmonary^cautionary^centenary^concessionary^confectionary^confectionery^contractionary^coronary^counterrevolutionary(0)^counterrevolutionary(1)^deflationary^dictionary^disciplinary^discretionary^disinflationary^diversionary(0)^diversionary(1)^evolutionary(0)^evolutionary(1)^evolutionary(2)^evolutionary(3)^exclusionary^expansionary(0)^expansionary(1)^expeditionary^extraordinary(0)^extraordinary(1)^functionary^illusionary^imaginary^inflationary^interdisciplinary^luminary^mercenary^missionary^noninflationary^ordinary^precautionary^preliminary(0)^preliminary(1)^probationary^pulmonary^reactionary^recessionary^retrocessionary^revolutionary^seminary^stationary^stationery^urinary^veterinary^visionary,concessionary^confectionary^confectionery^contractionary^deflationary^disciplinary^discretionary^diversionary(0)^diversionary(1)^exclusionary^expansionary(0)^expansionary(1)^extraordinary(0)^illusionary^imaginary^inflationary^precautionary^preliminary(0)^preliminary(1)^probationary^reactionary^recessionary
counterterrorists(0)^terrorists'(0)^terrorists(1),counterterrorists(0)
coloratura^datura,coloratura
economizes(0)^economizes(1)^minimizes^sodomizes,economizes(0)^economizes(1)
comprehensively^defensively^expensively^extensively^inexpensively^intensively^offensively,comprehensively^inexpensively
ababa(0)^addis-ababa(0)^addis-ababa(1),addis-ababa(0)^addis-ababa(1)
commonsensical^nonsensical,commonsensical
binational^internacional(0)^international(0)^international(1)^internatonal(0)^internatonal(1)^irrational^multinational(0)^multinational(1)^national(0)^nationale(1)^rational(0)^supranational^transnational,internacional(0)^international(0)^international(1)^internatonal(0)^internatonal(1)^multinational(0)^multinational(1)^supranational
angular^equiangular^rectangular^triangular,equiangular
hyperkinetic^kinetic(1),hyperkinetic
impermissible^indivisible^miscible(1),impermissible^indivisible
assicurazioni^aviazione^biagioni^campione^castiglione^edizione^etzioni^gaglione(0)^gaglione(1)^leoni(1)^maglione^mantione^manzione^marchione^menzione(0)^partecipazioni^religione^ricostruzione^scaglione^scipione^simione^stanzione^tartaglione^vecchione^viglione,biagioni^castiglione^edizione^religione^tartaglione
environmentalist(0)^experimentalist(0)^fundamentalist(0)^instrumentalist(0),fundamentalist(0)^instrumentalist(0)
quantifiable(0)^quantifiable(1),quantifiable(0)^quantifiable(1)
biondolillo^paolillo^russolillo(0),biondolillo
internationalize(2)^nationalize(1),internationalize(2)
americana^mccanna^mckanna,americana
evacuation(0)^evacuation(1)^graduation(1)^perpetuation,evacuation(0)^evacuation(1)^perpetuation
astigmatism^conservatism^corporatism^despotism^dogmatism^egotism^electromagnetism^ergotism^ferromagnetism^helotism^hypnotism^magnetism^nepotism^patriotism^pragmatism^rheumatism^separatism^stigmatism,astigmatism^conservatism^corporatism^patriotism^separatism
editorialized^industrialized^materialized^memorialized^serialized^trivialized(0),industrialized^materialized^memorialized
accusations(0)^authorizations^dramatizations^generalizations(0)^generalizations(1)^hospitalizations^immunizations^mischaracterizations^mobilizations^nationalizations(0)^nationalizations(1)^organizations^privatizations^realizations^recapitalizations^sterilizations(0),authorizations^dramatizations^generalizations(1)^immunizations^mobilizations^nationalizations(1)^organizations^privatizations^sterilizations(0)
archaeological^archeological^astrological^biological^biotechnological^chronological^dermatological^ecological(0)^ecological(1)^epidemiological^eschatological^geological^gynecological^ideological^illogical^immunological^logical^meteorological^methodological^morphological^mythological^neurological^ontological^pathological^pedagogical^pharmacological^phonological^physiological^psychological^radiological^sociological^technological^theological^topological^toxicological^virological^zoological,astrological^biological^chronological^ecological(0)^ecological(1)^geological^morphological^mythological^neurological^ontological^pathological^pedagogical^phonological^psychological^technological^theological^topological^virological
ethiopians^utopians,ethiopians
auditioning^commissioning^conditioning^decommissioning^partitioning^petitioning^positioning^reconditioning(0)^repositioning^transitioning,decommissioning^reconditioning(0)^repositioning
competition^dietician^dietitian^mathematician^petition^politician^repetition^theoretician,mathematician^theoretician
coordinate(1)^insubordinate(0)^subordinate(0),insubordinate(0)
aberrational^coeducational^computational^conformational^confrontational^congregational^connotational^conversational^denominational^educational(0)^educational(1)^foundational^generational^gravitational^improvisational^informational(0)^informational(1)^inspirational^intergenerational^investigational^invitational^motivational^navigational^occupational^operational^organizational^recreational^relational^representational^rotational^sensational^situational^transformational^vocational,aberrational^computational^conformational^confrontational^congregational^connotational^conversational^educational(0)^educational(1)^generational^gravitational^informational(0)^informational(1)^inspirational^invitational^motivational^navigational^occupational^operational^recreational^situational^transformational
corneliuson^meeuwsen,corneliuson
animosity^atrocity^curiosity^ferocity^generosity^monstrosity^religiosity^velocity^viscosity,animosity^curiosity^generosity
nitroglycerin(0)^nitroglycerin(1)^nitroglycerin(2)^nitroglycerine(0)^nitroglycerine(1)^nitroglycerine(2),nitroglycerin(0)^nitroglycerin(1)^nitroglycerin(2)^nitroglycerine(0)^nitroglycerine(1)^nitroglycerine(2)
irreversible^reversible(0)^reversible(1),irreversible
compromising^customizing^economizing(0)^economizing(1)^itemizing^legitimizing^maximizing^minimizing^sodomizing^uncompromising^victimizing,economizing(0)^economizing(1)^legitimizing^uncompromising
analytical^apolitical^critical^geopolitical^hypercritical^hypocritical^nonpolitical^political(1)^uncritical,analytical^apolitical^hypercritical^hypocritical^nonpolitical
analyzing^brutalizing^cannibalizing^capitalizing^centralizing^commercializing^criminalizing^crystallizing^decentralizing^demobilizing^demoralizing^denationalizing^departmentalizing^destabilizing^editorializing^equalizing^federalizing(0)^federalizing(1)^fertilizing^finalizing^formalizing^generalizing(0)^generalizing(1)^hydrolyzing^idolizing^immobilizing^immortalizing^industrializing^institutionalizing^legalizing^liberalizing(0)^liberalizing(1)^marginalizing^materializing^mobilizing^monopolizing^moralizing^nationalizing(0)^nationalizing(1)^naturalizing(0)^naturalizing(1)^neutralizing^normalizing^paralyzing^penalizing^personalizing^pluralizing^rationalizing^realizing(1)^reanalysing^recapitalizing^revitalizing^self-fertilizing^socializing^specializing^stabilizing^sterilizing^symbolizing^tantalizing(0)^tantalizing(1)^tranquilizing^trivializing(0)^trivializing(1)^utilizing^vandalizing^verbalizing^visualizing,cannibalizing^capitalizing^commercializing^criminalizing^decentralizing^demobilizing^demoralizing^destabilizing^federalizing(0)^generalizing(0)^immobilizing^immortalizing^liberalizing(0)^marginalizing^monopolizing^nationalizing(0)^naturalizing(0)^personalizing^rationalizing^reanalysing^revitalizing^self-fertilizing^trivializing(0)
disputable^immutable^indisputable^inscrutable^irrefutable^mutable^suitable^unsuitable,indisputable^irrefutable
assassinations^combinations^denomination's^denominations^destinations^detonations^emanations^examinations^explanations^hallucinations^imaginations^inclinations^intonations^machinations(0)^machinations(1)^nominations^originations^terminations^vaccinations,assassinations^denomination's^denominations^examinations^hallucinations^imaginations^originations
aggravated(1)^elevated^excavated^innovated(0)^reactivated^renovated,reactivated
budgetary^cemetery(1)^depositary(0)^depositary(1)^military(1)^pituitary(1)^sanitary^undersecretary^unitary,depositary(0)^depositary(1)^pituitary(1)
electrocutions^elocutions^executions^prosecution's^prosecutions,electrocutions
guadalajara(0)^guadalajara(1)^kashiwahara,guadalajara(0)^kashiwahara
hypochondria^mastandrea^mitochondria^papandrea,hypochondria^mitochondria
annuity(1)^annuity(2)^discontinuity^gratuity^incongruity^perpetuity,incongruity^perpetuity
fracturing^manufacturing^nonmanufacturing,manufacturing
degaetano^napoletano,degaetano^napoletano
acetylcholine(0)^acetylcholine(1),acetylcholine(0)^acetylcholine(1)
evangelical^helical,evangelical
carnegie-mellon(0)^carnegie-mellon(1),carnegie-mellon(0)^carnegie-mellon(1)
colonialist^editorialist^imperialist^industrialist^materialist,colonialist^imperialist^industrialist^materialist
contradictory^valedictory,contradictory^valedictory
artificially^beneficially^initially^judicially^officially^unofficially,artificially^beneficially^unofficially
abolitionism^agrarianism^americanism^anachronism^antagonism^antidisestablishmentarianism^arianism^authoritarianism^buchananism^chauvinism^communism^confucianism^creationism^determinism^egalitarianism^expansionism(0)^expansionism(1)^expressionism^hedonism^hellenism^hooliganism^humanism^illusionism^impressionism^interventionism(0)^interventionism(1)^isolationism^mechanism^microorganism^mormonism(1)^nestorianism^obstructionism^organism^paganism^parliamentarianism(0)^perfectionism^peronism^protectionism(0)^protectionism(1)^puritanism^reaganism(0)^reaganism(1)^republicanism^revisionism^satanism^sectarianism^tokenism^totalitarianism^unionism^vegetarianism^zionism,anachronism^antagonism^arianism^buchananism^confucianism^creationism^determinism^expansionism(0)^expansionism(1)^expressionism^hooliganism^illusionism^impressionism^obstructionism^perfectionism^protectionism(0)^protectionism(1)^puritanism^revisionism
atorino^caterino^cerino^cirino^marino^merino^perino^sanseverino^sciarrino^serino^severino,sanseverino
statutorily(0)^statutorily(1),statutorily(0)^statutorily(1)
balentine^ballentine^barentine(0)^galentine^gallentine^lentine^lentini^leontine(0)^piacentini^turrentine^volentine,piacentini
berea^caesarea^cytherea^diarrhea^diarrhoea^galeria^galleria^gonorrhea^lagroceria(0)^lagroceria(1)^maria^orea^perea^pizzeria^samaria^santa-maria(0)^santa-maria(1)^urea^urrea,lagroceria(0)^lagroceria(1)^santa-maria(0)^santa-maria(1)
exoskeleton^gelatin^skeleton,exoskeleton
contemporaries^itineraries^temporaries,contemporaries^itineraries
abnormalities^brutalities^commonalities^fatalities(0)^formalities^generalities^modalities^realities^technicalities^tonalities,abnormalities^commonalities^generalities^technicalities
evaluated(0)^evaluated(1),evaluated(0)^evaluated(1)
amilia^basilia^emilia^hemophilia^lealia^leilia^lilia^mobilia^odilia^ofilia^othilia^pumilia^rosamilia^scibilia^sibilia^vigilia,hemophilia^rosamilia
electrolysis^hydrolysis,electrolysis
colonialists(2)^editorialists(2)^imperialists(2)^industrialists(2),colonialists(2)^imperialists(2)^industrialists(2)
editorialize^industrialize^materialize^memorialize^reindustrialize^serialize^trivialize(0),industrialize^materialize^memorialize
fluoroscopy(0)^fluoroscopy(1)^laparoscopy(0)^spectroscopy,laparoscopy(0)
confidential(0)^credential(1)^nonresidential(0)^presidential(1)^vice-presidential^vice-presidential,nonresidential(0)^vice-presidential^vice-presidential
rrrot(0)^rrrot(1),rrrot(0)
devaluations^evaluations(0)^evaluations(1)^fluctuations^graduations(0)^insinuations^revaluations^situation's^situations^valuations,devaluations^evaluations(0)^evaluations(1)^insinuations
anecdotally(0)^anecdotally(1)^totally,anecdotally(0)^anecdotally(1)
escambia^gambia^senegambia^zambia,senegambia
autobiographical^biographical^geographical^graphical^typographical,biographical^geographical^typographical
accommodated^consolidated^elucidated^invalidated(0)^validated,accommodated^consolidated^elucidated^invalidated(0)
abiola^andriola^ariola^arriola^facciola^fiola^garagiola(0)^garagiola(1)^gaxiola^guardiola^labriola^mendiola^mineola^oriola^osceola(0)^osceola(1)^priola^triola^viola^viola,garagiola(0)^garagiola(1)
curio^dimercurio^durio^mercurio,dimercurio
hercegovina's(0)^hercegovina's(1)^herzegovina's(0)^herzegovina's(1),hercegovina's(0)^hercegovina's(1)^herzegovina's(0)^herzegovina's(1)
semitropical(0)^semitropical(1)^semitropical(2)^topical(1)^tropical,semitropical(0)^semitropical(1)^semitropical(2)
byelorussia(0)^byelorussia(1)^byelorussia(2),byelorussia(0)^byelorussia(2)
eminently^imminently^permanently^predominantly^prominently,predominantly
anthologies^apologies^biology's^biotechnologies^biotechnology's^chronologies^doxologies^electrobiology's^etiologies^ideologies^methodologies^otologies^pathologies^polytechnologies^technologies^technologies'^technology's,etiologies^ideologies^methodologies
inequalities(0)^inequalities(1)^inequalities(2),inequalities(0)^inequalities(1)^inequalities(2)
reanalyses^specializes(0)^stabilizes(0)^symbolizes(0)^tantalizes(1),reanalyses
experimental(0)^pimental^simental^unsentimental,experimental(0)^unsentimental
dionysius^odysseus,dionysius
albania^compania^dromomania(0)^germania^lithuania^lusitania^mania^mauritania(0)^megalomania^pomerania^romania^rumania^ruritania^sylvania^tanzania(0)^tasmania^transylvania(0)^zenia,dromomania(0)^lithuania^lusitania^mauritania(0)^pomerania^ruritania^transylvania(0)
analogic^biologic^geologic^gynecologic^intelogic^neurologic^technologic,gynecologic
lacksadaiscious^yglesias,lacksadaiscious
devotional^emotional(0)^promotional(0)^promotional(1)^unemotional(0)^unemotional(1),unemotional(0)^unemotional(1)
anglo-catholicism^anti-catholicism(0)^anti-catholicism(1)^catholicism^empiricism^fanaticism^monasticism^ostracism^romanticism^stoicism,catholicism^empiricism^fanaticism^monasticism^romanticism
alessandrini^d'alessandrini,alessandrini^d'alessandrini
cemetery(0)^cometary^dietary^dignitary^hereditary^interplanetary^military(0)^monetary^nonmilitary^paramilitary^pituitary(0)^planetary^proprietary^salutary^secretary^solitary^tributary^unsanitary,hereditary^nonmilitary^pituitary(0)^proprietary^unsanitary
famiglietti^vietti,famiglietti
contadora^controladora^feodora^fidora^madora^theodora^zadora,controladora
amortization^balkanization^cannibalization^capitalization^categorization^cauterization^centralization^characterization^civilization^collectivization^colonization^commercialization^computerization^decentralization^demoralization^denationalization^equalization^fertilization^finlandization^generalization(0)^generalization(1)^genetization^globalization^harmonization^improvisation^industrialization^institutionalization^internationalization(0)^internationalization(1)^liberalization(0)^liberalization(1)^maximization^miniaturization^mobilization(1)^monopolization^normalization^organisation^polarization(1)^pressurization^radicalization^rationalization(0)^rationalization(1)^reauthorization^recapitalization^renationalization^saudiization^singularization^socialization^stalinization^standardization^sterilization(1)^subsidization^suburbanization^urbanization^urbanization^vulgarization^westernization,amortization^balkanization^cauterization^centralization^civilization^colonization^equalization^fertilization^finlandization^generalization(1)^genetization^globalization^harmonization^improvisation^liberalization(1)^maximization^mobilization(1)^normalization^organisation^polarization(1)^pressurization^rationalization(1)^saudiization^socialization^stalinization^standardization^sterilization(1)^subsidization^urbanization^urbanization^vulgarization^westernization
approximating^underestimating,approximating
abrogating^castigating^delegating^instigating^interrogating^investigating^mitigating^navigating^obligating^propagating^relegating,interrogating^investigating
conductive^photoconductive^superconductive,photoconductive^superconductive
evaluating(0)^evaluating(1)^extenuating^graduating(1)^infatuating^insinuating^reevaluating^self-perpetuating,evaluating(0)^evaluating(1)^extenuating^infatuating^insinuating
alexandria^andrea(0)^andria^d'andrea^dandrea,alexandria
accusation(0)^alphabetization^americanization^authorization^canonization^christianization^colorization^communization^criminalization^decriminalization^dehumanization^deinstitutionalization^demilitarization^demobilization(1)^democratization^demonization^denuclearization^desalinization^destabilization^disorganization^dramatization^hospitalization^hybridization^immunization^ionization^islamization^legalization^localization^magnetization^marginalization^mechanization^mineralization^mischaracterization^mobilization(0)^modernization(0)^nationalization(0)^nationalization(1)^naturalization(0)^naturalization(1)^neutralization^optimization^organization^panelization^pasteurization^personalization^polarization(0)^politicization^polymerization^popularization^privatisation^privatization^realization^reorganization^revitalization^securitization^specialization^stabilization^sterilization(0)^synchronization^tabloidization^unionization^utilization^vaporization^victimization^visualization,authorization^canonization^christianization^colorization^communization^demonization^dramatization^hybridization^immunization^ionization^islamization^legalization^localization^magnetization^mechanization^mobilization(0)^modernization(0)^nationalization(1)^naturalization(1)^neutralization^optimization^organization^panelization^pasteurization^polarization(0)^privatisation^privatization^specialization^stabilization^sterilization(0)^synchronization^tabloidization^unionization^utilization^vaporization^victimization^visualization
breakable^unbreakable^unmistakable^unshakable^unshakeable,unmistakable
american(1)^transamerican^unamerican,transamerican^unamerican
capobianco^delbianco^lobianco^panebianco,capobianco^panebianco
astronomically^comically(1)^economically(0)^economically(1)^ergonomically^islamically,astronomically^economically(0)^economically(1)^ergonomically
lallera^tabacalera^valera,tabacalera
environmentalist(1)^experimentalist(1)^fundamentalist(1)^instrumentalist(1),fundamentalist(1)^instrumentalist(1)
preservationists(1)^reservationists(1)^segregationists(1),preservationists(1)^reservationists(1)^segregationists(1)
abrogation^allegation^congregation^conjugation^delegation^desegregation(0)^desegregation(1)^fumigation(0)^interrogation^investigation^irrigation^litigation^navigation(0)^navigation(1)^negation^obligation^propagation^segregation^surrogation,desegregation(0)^desegregation(1)^interrogation^investigation
fanatical^grammatical(1)^mathematical^problematical^sabbatical^viatical,mathematical^problematical
determinant^permanent^semipermanent(0)^semipermanent(1)^semipermanent(2),semipermanent(0)^semipermanent(1)^semipermanent(2)
clintonomics^economics(0)^economics(1)^ergonomics^macroeconomics(0)^macroeconomics(1)^microeconomics^polyconomics^reaganomics,polyconomics
amazonians^babylonians^caledonian's^estonians^jacksonians^jeffersonians^oregonians^smithsonian's(0)^smithsonian's(1)^washingtonians^washingtonians,amazonians^babylonians^caledonian's^jeffersonians^oregonians^washingtonians^washingtonians
conspicuously^continuously^incongruously^strenuously^unambiguously,conspicuously^continuously^incongruously
decapitations^imitations^interpretations^invitations^irritations^limitations^meditations^palpitations^recitations^solicitations^visitations^visitations,decapitations^interpretations^solicitations
contemporary^funerary^honorary^itinerary^literary^temporary^tipperary,contemporary^itinerary
psychotherapists(2)^therapists(2),psychotherapists(2)
degirolamo^digirolamo^girolamo,degirolamo^digirolamo
advertorials^editorial's^editorials^memorials^tutorials,advertorials^editorial's^editorials
individual's^individuals^individuals',individual's^individuals^individuals'
delorean^dorian^ecuadorean^ecuadorian^florian^gregorian^historian^hyperborean^ivorian^kerkorian^krikorian^lorean^nestorian^praetorian^pythagorean^salutatorian^singaporean^torian^torreon^valedictorian^victorian,ecuadorean^ecuadorian^hyperborean^pythagorean^singaporean
activity(0)^captivity^conductivity^creativity^exclusivity^festivity^insensitivity^nativity^negativity^proclivity^productivity(0)^progressivity^radioactivity(0)^radioactivity(1)^reactivity^relativity^selectivity^superconductivity,conductivity^creativity^exclusivity^negativity^productivity(0)^progressivity^reactivity^relativity^selectivity
circumstantially(0)^substantially(1),circumstantially(0)
accumulator^calculator^deregulator^escalator^insulator^manipulator^modulator^oscillator^percolator^purolator^regulator^simulator^speculator^stimulator^ventilator^ventilator^violator,accumulator^deregulator^manipulator
anthropologists(1)^archaeologists(0)^cardiologists(0)^climatologists(0)^climatologists(1)^criminologists(0)^dermatologists(0)^ecologists(0)^ecologists(1)^epidemiologists(0)^geologists(0)^ideologists(0)^kremlinologists(0)^meteorologist's^meteorologists(0)^microbiologists(0)^oncologists(0)^ophthalmologists(0)^ophthalmologists(2)^paleontologists(0)^pharmacologists(0)^radiologists(0)^sociologists(0)^sovietologists(0)^technologists(0)^toxicologists(0),anthropologists(1)^archaeologists(0)^cardiologists(0)^climatologists(0)^climatologists(1)^criminologists(0)^dermatologists(0)^ideologists(0)^kremlinologists(0)^ophthalmologists(0)^ophthalmologists(2)^pharmacologists(0)^radiologists(0)^sociologists(0)^toxicologists(0)
allegations^congregation's^congregations^conjugations^delegation's^delegations^interrogations^investigations^litigations^obligations,interrogations^investigations
superintendant(1)^superintendent(1),superintendant(1)^superintendent(1)
determinative^unimaginative,determinative
intimidation^liquidation^trepidation,intimidation
appalachia^guarnaccia,appalachia
confrontation^disorientation^experimentation^fermentation^fragmentation^pigmentation^presentation^recantation(0)^sedimentation^segmentation,sedimentation
electromagnet^ferromagnet,electromagnet
agonizing^antagonizing^dehumanizing^demonizing^galvanizing^harmonizing^hellenizing^humanizing^immunizing^ionizing^organizing^patronizing^reorganizing^revolutionizing^scrutinizing^synchronizing^unionizing^womanizing,antagonizing^dehumanizing^reorganizing
audacity^capacity(0)^incapacity^opacity^overcapacity^voracity^voracity,incapacity
agricultural(0)^agricultural(1)^countercultural(0)^countercultural(1)^cultural^horticultural^intercultural^multicultural^nonagricultural,agricultural(0)^agricultural(1)^countercultural(0)^countercultural(1)^horticultural^intercultural^multicultural
counteroffensives(0)^counteroffensives(1),counteroffensives(0)^counteroffensives(1)
bejarano^cammarano^carano^carrano^falzarano^marano^montemarano^scarano^varano,montemarano
misunderstandings^understandings,misunderstandings
accumulation^adulation^annihilation^appalachian(1)^appellation^articulation^assimilation^calculation^cancellation^capitulation^coagulation^compilation^confabulation^congratulation^consolation^constellation^correlation^demodulation^deregulation^desolation^distillation^emulation^escalation^exhalation^extrapolation^formulation(0)^gastrulation^granulation^inhalation(0)^inhalation(1)^innoculation^inoculation^installation^insulation^isolation^jubilation^manipulation^miscalculation^modulation^mutilation^oscillation^overpopulation^overregulation^ovulation^population^recalculation^regulation^reregulation^revelation^self-congratulation^simulation^speculation^stimulation^stipulation^strangulation^tabulation^tribulation^vacillation^ventilation^ventilation^violation,accumulation^annihilation^articulation^assimilation^capitulation^coagulation^confabulation^congratulation^demodulation^deregulation^extrapolation^innoculation^inoculation^manipulation^miscalculation^recalculation^reregulation
authenticity^complicity(1)^duplicity^ethnicity^multiplicity^publicity(1)^simplicity(1)^synchronicity,authenticity^multiplicity^synchronicity
wor^wor^wor,wor^wor^wor
accommodative^elucidative,accommodative^elucidative
airworthiness^creditworthiness^trustworthiness,creditworthiness
creatologist^necrologist^volcanologist,creatologist^volcanologist
intermediates(1)^intermediates(3),intermediates(1)^intermediates(3)
brontosaurus(0)^brontosaurus(1)^dilophosaurus^stegosaurus^thesaurus^tyrannosaurus,dilophosaurus^tyrannosaurus
factory^olfactory^refractory^satisfactory(1)^unsatisfactory,satisfactory(1)
continuances^influences^issuances,continuances
audiotronics^endotronics^photronics,audiotronics
accumulations^appalachians(1)^appellations^calculations^cancellations^circulations^compilations^congratulations^consolations^constellation's^constellations^correlations^inoculations^installations^manipulations^miscalculations^mutilations^oscillations^ovulations^populations^regulations^revelations^simulations(1)^speculations^stipulations^strangulations^tabulations^tribulations^violations,accumulations^congratulations^inoculations^manipulations^miscalculations
circularly^extracellularly^irregularly^particularly(0)^particularly(1)^popularly^regularly^similarly^singularly^spectacularly,irregularly^particularly(0)^particularly(1)^spectacularly
osteopathic^psychopathic,osteopathic
intimidated^invalidated(1)^liquidated,intimidated^invalidated(1)
absenteeism^deism^theism,absenteeism
bicentennial^biennial^centennial^decennial^millennial^perennial^quadrennial^triennial,bicentennial
anthropogenic^hallucinogenic^orogenic^pathogenic^photogenic^telegenic,anthropogenic
barometric^econometric^geometric^gravimetric^parametric,econometric
america's^americas^americas'^america's^americas^bankamerica's^coastamerica's^primerica's^transamerica's^westamerica's,bankamerica's^coastamerica's^transamerica's^westamerica's
metropolitan's^metropolitans,metropolitan's^metropolitans
cardiovascular^gastrovascular^vascular,gastrovascular
amerindian^indian,amerindian
noticeable^serviceable^unserviceable^unserviceable,unserviceable^unserviceable
heroically^mock-heroically^stoically,mock-heroically
anatomical(1)^astronomical^comical^economical(0)^economical(1)^uneconomical,anatomical(1)^astronomical^economical(0)^economical(1)
ajinomoto^okamoto,ajinomoto
analyticity^complicity(0)^domesticity^eccentricity^elasticity^electricity^felicite(1)^felicity^publicity(0)^simplicity(0)^specificity^toxicity,domesticity^eccentricity^elasticity^electricity^specificity
embarrassingly^menacingly,embarrassingly
representative(2)^representative(3)^tentative(1),representative(2)^representative(3)
agreeable^disagreeable^foreseeable^forseeable(0)^forseeable(1)^unforeseeable,disagreeable^unforeseeable
hyakutake(0)^hyakutake(1),hyakutake(0)^hyakutake(1)
irrevocably(0)^unequivocably,irrevocably(0)
banalities^causalities^fatalities(1)^illegalities^legalities(0)^legalities(1)^localities^municipalities^nationalities^personalities^principalities,illegalities^nationalities^personalities^principalities
agrigenetics^dianetics^genetics^kinetics^pharmakinetics^phonetics,agrigenetics^pharmakinetics
chronically(0)^clinically(0)^comically(0)^critically(0)^cynically(0)^diametrically(0)^dramatically(1)^electrically(0)^electronically(0)^emphatically(1)^empirically(0)^ethically(0)^fanatically(0)^forensically(1)^geographically(0)^hermetically(0)^historically(0)^intrinsically(0)^journalistically(0)^magically(0)^magnetically(0)^majestically(0)^mathematically(0)^medically(1)^methodically(0)^metrically^mineralogically(0)^optimistically(0)^parenthetically(0)^pathetically(0)^periodically(0)^philosophically(0)^physically(0)^politically(0)^pragmatically(0)^ritualistically(0)^romantically(0)^sardonically(0)^scientifically(0)^skeptically(0)^statistically(0)^surgically(0)^symbolically(0)^sympathetically(0)^tactically^technically(0)^technologically(0)^theatrically(0)^theoretically(0)^therapeutically(0)^typically(1)^uncritically(0),dramatically(1)^electrically(0)^emphatically(1)^empirically(0)^fanatically(0)^forensically(1)^hermetically(0)^historically(0)^intrinsically(0)^magnetically(0)^majestically(0)^methodically(0)^pathetically(0)^politically(0)^pragmatically(0)^romantically(0)^sardonically(0)^statistically(0)^symbolically(0)^theatrically(0)^uncritically(0)
auditorium^crematorium^emporium^moratorium,auditorium^crematorium^moratorium
polysaccharides(0)^polysaccharides(1),polysaccharides(0)^polysaccharides(1)
fashionably^personably^reasonably^unquestionably^unreasonably^unseasonably,unquestionably^unreasonably^unseasonably
cumulative^noncumulative^speculative,noncumulative
documentaries(1)^documentaries(3),documentaries(1)^documentaries(3)
confectionaries^dictionaries^functionaries^legionaries^luminaries^mercenaries^missionaries^ordinaries^preliminaries(0)^preliminaries(1)^reactionaries^retrocessionaries^revolutionaries^seminaries^visionaries,confectionaries^preliminaries(0)^preliminaries(1)^reactionaries
counteroffensive(0)^counteroffensive(1),counteroffensive(0)^counteroffensive(1)
benedetto^debenedetto^dibenedetto^pradetto,debenedetto^dibenedetto
